"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1e+005,-3.8511e-013,3.0524e-012,0,348.43,3.0766e-012,1,0,0,0,0
1e+005,8.1355e-014,3.0108e-012,0,348.43,3.0274e-012,1,0.10392,0.1,0.02,0.02
1e+005,4.1666e-013,2.9106e-012,0,348.43,2.9864e-012,1,0.20785,0.2,0.04,0.04
1e+005,6.4097e-013,2.8631e-012,0,348.43,2.9687e-012,1,0.31177,0.3,0.06,0.06
1e+005,9.5094e-013,2.7671e-012,0,348.43,3.0041e-012,1,0.41569,0.4,0.08,0.08
1e+005,1.2293e-012,2.6841e-012,0,348.43,3.0456e-012,1,0.51962,0.5,0.1,0.1
1e+005,1.0764e-012,2.5649e-012,0,348.43,2.8903e-012,1,0.62354,0.6,0.12,0.12
1e+005,7.3893e-013,2.4825e-012,0,348.43,2.6439e-012,1,0.72746,0.7,0.14,0.14
1e+005,8.6152e-013,2.4016e-012,0,348.43,2.6477e-012,1,0.83138,0.8,0.16,0.16
1e+005,8.3223e-013,2.3953e-012,0,348.43,2.5777e-012,1,0.93531,0.9,0.18,0.18
1e+005,1.667e-012,2.4875e-012,0,348.43,3.2237e-012,1,1.0392,1,0.2,0.2
1e+005,2.8043e-012,2.6353e-012,0,348.43,3.923e-012,1,1.1432,1.1,0.22,0.22
1e+005,1.7831e-011,2.723e-012,0,348.43,1.807e-011,1,1.2471,1.2,0.24,0.24
1e+005,5.1686e-010,2.7769e-012,0,348.43,5.1687e-010,1,1.351,1.3,0.26,0.26
1e+005,1.4112e-008,2.8727e-012,0,348.43,1.4112e-008,1,1.4549,1.4,0.28,0.28
1e+005,3.2651e-007,2.8828e-012,0,348.43,3.2651e-007,1,1.5588,1.5,0.3,0.3
1e+005,6.3071e-006,2.8453e-012,0,348.43,6.3071e-006,1,1.6628,1.6,0.32,0.32
1e+005,0.00010019,2.7136e-012,0,348.43,0.00010019,1,1.7667,1.7,0.34,0.34
1e+005,0.0012849,2.5519e-012,0,348.43,0.0012849,1,1.8706,1.8,0.36,0.36
99995,0.012997,2.3984e-012,0,348.43,0.012997,1,1.9745,1.9,0.38,0.38
99963,0.10062,2.2003e-012,0,348.39,0.10062,1,2.0785,2,0.4,0.4
99788,0.57399,2.0404e-012,0,348.22,0.57399,1,2.1824,2.1,0.42,0.42
99139,2.3238,1.8748e-012,0,347.57,2.3238,1,2.2863,2.2,0.44,0.44
97565,6.5896,1.7732e-012,0,345.98,6.5896,1,2.3902,2.3,0.46,0.46
95017,13.607,1.6991e-012,0,343.37,13.607,1,2.4942,2.4,0.48,0.48
91904,22.41,1.5828e-012,0,340.12,22.41,1,2.5981,2.5,0.5,0.5
88564,32.16,1.4775e-012,0,336.54,32.16,1,2.702,2.6,0.52,0.52
85157,42.445,1.3993e-012,0,332.78,42.445,1,2.8059,2.7,0.54,0.54
81757,53.076,1.4084e-012,0,328.93,53.076,1,2.9098,2.8,0.56,0.56
78402,63.955,1.4132e-012,0,325.01,63.955,1,3.0138,2.9,0.58,0.58
75112,75.018,1.3864e-012,0,321.05,75.018,1,3.1177,3,0.6,0.6
71902,86.219,1.4234e-012,0,317.06,86.219,1,3.2216,3.1,0.62,0.62
68784,97.521,1.4288e-012,0,313.07,97.521,1,3.3255,3.2,0.64,0.64
65762,108.9,1.4425e-012,0,309.07,108.9,1,3.4295,3.3,0.66,0.66
62843,120.32,1.4749e-012,0,305.08,120.32,1,3.5334,3.4,0.68,0.68
60028,131.77,1.469e-012,0,301.11,131.77,1,3.6373,3.5,0.7,0.7
57319,143.23,1.439e-012,0,297.15,143.23,1,3.7412,3.6,0.72,0.72
54716,154.69,1.3943e-012,0,293.23,154.69,1,3.8452,3.7,0.74,0.74
52218,166.14,1.3563e-012,0,289.35,166.14,1,3.9491,3.8,0.76,0.76
49824,177.55,1.3477e-012,0,285.44,177.55,1,4.053,3.9,0.78,0.78
47534,188.92,1.3983e-012,0,281.68,188.92,1,4.1569,4,0.8,0.8
45347,200.22,1.4777e-012,0,277.84,200.22,1,4.2608,4.1,0.82,0.82
43263,211.43,1.542e-012,0,274.15,211.43,1,4.3648,4.2,0.84,0.84
41284,222.51,1.5527e-012,0,270.52,222.51,1,4.4687,4.3,0.86,0.86
39414,233.4,1.5215e-012,0,266.96,233.4,1,4.5726,4.4,0.88,0.88
37659,244.03,1.4507e-012,0,263.51,244.03,1,4.6765,4.5,0.9,0.9
36031,254.28,1.3642e-012,0,260.19,254.28,1,4.7805,4.6,0.92,0.92
34549,263.95,1.2375e-012,0,257.11,263.95,1,4.8844,4.7,0.94,0.94
33242,272.76,1.0446e-012,0,254.34,272.76,1,4.9883,4.8,0.96,0.96
