"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1e+005,3.325e-012,3.9839e-011,0,348.43,3.9981e-011,1,0,0,0.275,2
1e+005,6.556e-012,3.9967e-011,0,348.43,4.0515e-011,1,0.1,0.1,0.275,2
1e+005,6.1314e-012,4.0095e-011,0,348.43,4.0562e-011,1,0.2,0.2,0.275,2
1e+005,1.572e-011,4.0087e-011,0,348.43,4.3069e-011,1,0.3,0.3,0.275,2
1e+005,1.6135e-011,4.0156e-011,0,348.43,4.3288e-011,1,0.4,0.4,0.275,2
1e+005,1.1972e-011,4.0128e-011,0,348.43,4.1884e-011,1,0.5,0.5,0.275,2
1e+005,1.3427e-011,3.9963e-011,0,348.43,4.2222e-011,1,0.6,0.6,0.275,2
1e+005,1.5027e-011,3.9707e-011,0,348.43,4.255e-011,1,0.7,0.7,0.275,2
1e+005,1.5522e-011,3.9572e-011,0,348.43,4.2567e-011,1,0.8,0.8,0.275,2
1e+005,1.8126e-011,3.9439e-011,0,348.43,4.3413e-011,1,0.9,0.9,0.275,2
1e+005,2.1575e-011,3.9787e-011,0,348.43,4.5477e-011,1,1,1,0.275,2
1e+005,2.2685e-011,4.0366e-011,0,348.43,4.6431e-011,1,1.1,1.1,0.275,2
1e+005,2.055e-011,4.0196e-011,0,348.43,4.5235e-011,1,1.2,1.2,0.275,2
1e+005,2.5931e-011,4.0295e-011,0,348.43,4.794e-011,1,1.3,1.3,0.275,2
1e+005,2.5878e-011,4.0273e-011,0,348.43,4.7876e-011,1,1.4,1.4,0.275,2
1e+005,2.7214e-011,4.0613e-011,0,348.43,4.8962e-011,1,1.5,1.5,0.275,2
1e+005,2.5016e-011,4.0871e-011,0,348.43,4.7968e-011,1,1.6,1.6,0.275,2
1e+005,2.5022e-011,4.1097e-011,0,348.43,4.8129e-011,1,1.7,1.7,0.275,2
1e+005,2.6395e-011,4.1097e-011,0,348.43,4.8844e-011,1,1.8,1.8,0.275,2
1e+005,2.7728e-011,4.1473e-011,0,348.43,5.0136e-011,1,1.9,1.9,0.275,2
