"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
99974,0.072002,-0.001727,-3.9898e-018,348.41,0.072031,1,0,0,0.275,2
99963,0.10609,-0.0021624,-4.1006e-018,348.4,0.10613,1,0.1,0.1,0.275,2
99951,0.14014,-0.002604,-4.2334e-018,348.38,0.1402,1,0.2,0.2,0.275,2
99940,0.17415,-0.0030519,-4.3886e-018,348.37,0.17422,1,0.3,0.3,0.275,2
99917,0.23872,-0.0035153,-4.6087e-018,348.35,0.23883,1,0.4,0.4,0.275,2
99870,0.37549,-0.0040271,-4.938e-018,348.3,0.37568,1,0.5,0.5,0.275,2
99822,0.51208,-0.0045781,-5.2719e-018,348.25,0.51237,1,0.6,0.6,0.275,2
99775,0.6485,-0.0051694,-5.6104e-018,348.21,0.64888,1,0.7,0.7,0.275,2
99671,0.9421,-0.0035896,-5.0422e-018,348.1,0.9428,1,0.8,0.8,0.275,2
99529,1.3409,-0.00066824,-3.8441e-018,347.96,1.3421,1,0.9,0.9,0.275,2
99388,1.7392,0.002078,-2.6218e-018,347.82,1.7409,1,1,1,0.275,2
99247,2.137,0.0046439,-1.3747e-018,347.68,2.1392,1,1.1,1.1,0.275,2
98899,3.1018,0.021547,-1.3219e-018,347.33,3.106,1,1.2,1.2,0.275,2
98530,4.1263,0.039413,-1.4237e-018,346.96,4.1328,1,1.3,1.3,0.275,2
98161,5.1495,0.056638,-1.5521e-018,346.58,5.1581,1,1.4,1.4,0.275,2
97700,6.4239,0.082771,-1.5808e-018,346.12,6.4359,1,1.5,1.5,0.275,2
96894,8.6377,0.14321,-1.1409e-018,345.3,8.6574,1,1.6,1.6,0.275,2
96088,10.849,0.20179,-6.915e-019,344.48,10.876,1,1.7,1.7,0.275,2
95284,13.057,0.25844,-2.3217e-019,343.66,13.092,1,1.8,1.8,0.275,2
94160,16.171,0.3639,-1.6079e-018,342.49,16.221,1,1.9,1.9,0.275,2
92747,20.105,0.51148,-4.6156e-018,341.01,20.176,1,2,2,0.275,2
91336,24.033,0.65453,-7.5757e-018,339.53,24.126,1,2.1,2.1,0.275,2
89927,27.957,0.79289,-1.0487e-017,338.05,28.072,1,2.2,2.2,0.275,2
88029,33.493,1.0676,-7.9182e-018,335.98,33.652,1,2.3,2.3,0.275,2
86043,39.322,1.3599,-4.3884e-018,333.79,39.529,1,2.4,2.4,0.275,2
84059,45.144,1.6431,-9.1224e-019,331.61,45.401,1,2.5,2.5,0.275,2
82013,51.243,1.9553,2.7699e-018,329.33,51.556,1,2.6,2.6,0.275,2
79657,58.731,2.4448,7.6969e-018,326.57,59.136,1,2.7,2.7,0.275,2
77304,66.212,2.9189,1.2584e-017,323.81,66.71,1,2.8,2.8,0.275,2
74952,73.685,3.377,1.7431e-017,321.05,74.276,1,2.9,2.9,0.275,2
72533,81.729,3.9415,1.8086e-017,318.05,82.443,1,3,3,0.275,2
70045,90.344,4.6074,1.4599e-017,314.81,91.21,1,3.1,3.1,0.275,2
67559,98.951,5.2494,1.1134e-017,311.57,99.97,1,3.2,3.2,0.275,2
65076,107.55,5.8665,7.6917e-018,308.33,108.72,1,3.3,3.3,0.275,2
62649,116.67,6.6414,4.865e-018,305.19,118.06,1,3.4,3.4,0.275,2
60236,125.89,7.4191,2.1212e-018,302.07,127.5,1,3.5,3.5,0.275,2
57824,135.1,8.1624,-6.5931e-019,298.95,136.93,1,3.6,3.6,0.275,2
55450,144.32,8.9045,-3.1116e-018,295.71,146.39,1,3.7,3.7,0.275,2
53230,153.6,9.7571,-3.9817e-018,291.94,155.96,1,3.8,3.8,0.275,2
51013,162.87,10.565,-4.8349e-018,288.17,165.53,1,3.9,3.9,0.275,2
48799,172.14,11.328,-5.6705e-018,284.4,175.09,1,4,4,0.275,2
46719,181.26,12.069,-2.1871e-018,280.79,184.54,1,4.1,4.1,0.275,2
44753,190.26,12.778,5.0428e-018,277.3,193.89,1,4.2,4.2,0.275,2
42791,199.25,13.431,1.2498e-017,273.82,203.24,1,4.3,4.3,0.275,2
40832,208.23,14.025,2.0189e-017,270.36,212.57,1,4.4,4.4,0.275,2
39113,216.77,14.441,2.4187e-017,268.14,221.5,1,4.5,4.5,0.275,2
37420,225.26,14.78,2.7781e-017,266.05,230.37,1,4.6,4.6,0.275,2
35732,233.73,15.05,3.131e-017,263.97,239.23,1,4.7,4.7,0.275,2
34132,241.91,15.193,2.8432e-017,261.62,247.79,1,4.8,4.8,0.275,2
32730,249.42,15.14,1.06e-017,258.63,255.67,1,4.9,4.9,0.275,2
31333,256.92,15.011,-7.6142e-018,255.64,263.55,1,5,5,0.275,2
29942,264.4,14.8,-2.6231e-017,252.64,271.41,1,5.1,5.1,0.275,2
28761,271.02,14.254,-2.9047e-017,249.32,278.38,1,5.2,5.2,0.275,2
27672,277.27,13.517,-2.4963e-017,245.88,284.97,1,5.3,5.3,0.275,2
26588,283.52,12.692,-2.0739e-017,242.43,291.56,1,5.4,5.4,0.275,2
25545,289.52,11.606,-1.5588e-017,239.19,297.9,1,5.5,5.5,0.275,2
24746,293.86,9.2641,-4.6464e-018,237.43,302.46,1,5.6,5.6,0.275,2
23954,298.21,6.8355,6.7836e-018,235.7,307.05,1,5.7,5.7,0.275,2
23169,302.58,4.3146,1.8735e-017,233.98,311.68,1,5.8,5.8,0.275,2
22658,305.07,0.20864,1.5935e-017,233.93,314.3,1,5.9,5.9,0.275,2
22353,306.18,-5.0773,1.407e-018,235.15,315.49,1,6,6,0.275,2
22050,307.35,-10.422,-1.3623e-017,236.4,316.77,1,6.1,6.1,0.275,2
21779,308.32,-16.09,-2.8164e-017,237.92,317.91,1,6.2,6.2,0.275,2
22078,304.18,-26.917,-2.2684e-017,244.39,314.23,1,6.3,6.3,0.275,2
22365,300.2,-37.663,-1.7328e-017,250.9,310.77,1,6.4,6.4,0.275,2
22638,296.41,-48.321,-1.2105e-017,257.44,307.55,1,6.5,6.5,0.275,2
23375,291.67,-59.962,-2.227e-018,267.84,304.11,1,6.6,6.6,0.275,2
24446,286.27,-72.25,1.2035e-017,281.13,300.55,1,6.7,6.7,0.275,2
25472,281.12,-84.302,2.724e-017,294.3,297.25,1,6.8,6.8,0.275,2
26394,276.61,-95.19,1.873e-017,306.69,294.5,1,6.9,6.9,0.275,2
26913,274.82,-99.597,-1.6253e-016,314.55,293.88,1,7,7,0.275,2
27425,273.04,-103.98,-3.4379e-016,322.38,293.26,1,7.1,7.1,0.275,2
27932,271.28,-108.33,-5.2505e-016,330.18,292.65,1,7.2,7.2,0.275,2
27394,298.86,-133.17,-3.2528e-016,333.81,327.19,1,7.3,7.3,0.275,2
28188,291.51,-125.18,-3.5822e-016,361.3,317.25,1,7.4,7.4,0.275,2
31739,258.06,-86.806,-9.514e-020,416.27,272.63,1,7.5,7.5,0.275,2
31945,258.37,-78.371,6.8037e-017,421.62,270.19,1,7.6,7.6,0.275,2
32069,259.51,-72.255,3.8637e-017,424.1,269.5,1,7.7,7.7,0.275,2
32100,261.67,-67.407,-1.7862e-017,424.62,270.28,1,7.8,7.8,0.275,2
32012,265.14,-63.322,-6.8886e-017,423.22,272.64,1,7.9,7.9,0.275,2
31840,268.56,-60.253,7.3065e-017,419.53,275.27,1,8,8,0.275,2
31641,271.43,-57.66,7.5078e-017,415.11,277.52,1,8.1,8.1,0.275,2
31419,273.58,-55.384,-3.7501e-017,410.49,279.17,1,8.2,8.2,0.275,2
31163,274.94,-53.236,-1.7538e-016,406.48,280.11,1,8.3,8.3,0.275,2
30731,274.86,-50.946,-4.3368e-017,402.86,279.63,1,8.4,8.4,0.275,2
29974,272.27,-48.348,3.0833e-017,398.49,276.63,1,8.5,8.5,0.275,2
28699,265.03,-45.285,2.8055e-017,392.09,268.98,1,8.6,8.6,0.275,2
26713,250.35,-41.552,-1.5466e-017,382.24,253.87,1,8.7,8.7,0.275,2
23810,223.45,-36.743,2.779e-017,367.09,226.51,1,8.8,8.8,0.275,2
20293,180.94,-30.242,3.776e-018,346.86,183.47,1,8.9,8.9,0.275,2
16936,132.24,-22.705,-1.4262e-017,326.06,134.2,1,9,9,0.275,2
14154,85.736,-15.115,3.4064e-019,307.86,87.107,1,9.1,9.1,0.275,2
12167,48.213,-8.5531,2.2021e-017,294.31,49.046,1,9.2,9.2,0.275,2
10966,23.099,-3.9265,-6.8571e-019,285.89,23.516,1,9.3,9.3,0.275,2
10397,9.979,-1.5883,-7.6496e-018,281.73,10.159,1,9.4,9.4,0.275,2
10156,4.0706,-0.61227,9.9372e-020,279.93,4.1435,1,9.5,9.5,0.275,2
10055,1.4674,-0.20755,8.4459e-018,279.16,1.4932,1,9.6,9.6,0.275,2
10017,0.47851,-0.06433,5.5259e-018,278.88,0.48674,1,9.7,9.7,0.275,2
10005,0.14697,-0.019229,-1.68e-018,278.79,0.1495,1,9.8,9.8,0.275,2
10002,0.043529,-0.0059333,1.2214e-018,278.76,0.04438,1,9.9,9.9,0.275,2
10001,0.017048,-0.0027834,8.4468e-018,278.75,0.017527,1,10,10,0.275,2
