"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1e+005,1.0945e-011,1.2278e-010,0,348.43,1.5176e-010,1,0,0,0.275,2
1e+005,6.3188e-012,1.1176e-010,1.2111e-018,348.43,1.3797e-010,1,0.1,0.1,0.275,2
1e+005,3.21e-012,1.0165e-010,-4.8426e-018,348.43,1.2583e-010,1,0.2,0.2,0.275,2
1e+005,-2.4551e-012,9.2292e-011,-1.2976e-022,348.43,1.1512e-010,1,0.3,0.3,0.275,2
1e+005,-2.9025e-012,8.3671e-011,-2.7096e-019,348.43,1.053e-010,1,0.4,0.4,0.275,2
1e+005,-7.4572e-012,7.5442e-011,2.96e-018,348.43,9.6388e-011,1,0.5,0.5,0.275,2
1e+005,-7.1943e-012,6.7735e-011,7.1239e-019,348.43,8.7563e-011,1,0.6,0.6,0.275,2
1e+005,-9.3208e-012,6.048e-011,8.1411e-018,348.43,7.9927e-011,1,0.7,0.7,0.275,2
1e+005,-8.2899e-012,5.3656e-011,-2.7695e-018,348.43,7.2096e-011,1,0.8,0.8,0.275,2
1e+005,-7.6449e-012,4.7263e-011,0,348.43,6.4657e-011,1,0.9,0.9,0.275,2
1e+005,-9.901e-012,4.1169e-011,-5.7391e-018,348.43,5.6841e-011,1,1,1,0.275,2
1e+005,-8.1751e-012,3.5849e-011,1.0447e-017,348.43,4.9819e-011,1,1.1,1.1,0.275,2
1e+005,-5.4298e-012,3.0879e-011,-7.0447e-018,348.43,4.5338e-011,1,1.2,1.2,0.275,2
1e+005,-3.8469e-012,2.5969e-011,1.4052e-022,348.43,3.9228e-011,1,1.3,1.3,0.275,2
1e+005,-1.8762e-013,2.1681e-011,5.942e-019,348.43,3.6669e-011,1,1.4,1.4,0.275,2
1e+005,6.8891e-013,1.7282e-011,8.5746e-018,348.43,3.2128e-011,1,1.5,1.5,0.275,2
1e+005,1.496e-012,1.3373e-011,-1.5772e-017,348.43,2.7637e-011,1,1.6,1.6,0.275,2
1e+005,3.1827e-012,1.0383e-011,-2.1012e-017,348.43,2.4543e-011,1,1.7,1.7,0.275,2
1e+005,3.5987e-012,7.6644e-012,4.9562e-023,348.43,2.1787e-011,1,1.8,1.8,0.275,2
1e+005,2.19e-012,4.9166e-012,-5.5901e-023,348.43,1.6166e-011,1,1.9,1.9,0.275,2
1e+005,2.4665e-012,3.2065e-012,-2.5023e-018,348.43,1.4455e-011,1,2,2,0.275,2
1e+005,1.8764e-006,2.1906e-007,-1.5012e-022,348.43,2.0725e-006,1,2.1,2.1,0.275,2
99984,0.041864,0.0050366,-2.5958e-018,348.42,0.046196,1,2.2,2.2,0.275,2
98827,3.1412,0.36999,1.3658e-026,347.25,3.9341,1,2.3,2.3,0.275,2
95648,11.847,0.96136,-1.7715e-017,343.99,12.904,1,2.4,2.4,0.275,2
91443,23.67,1.4673,-3.0315e-020,339.59,23.795,1,2.5,2.5,0.275,2
87290,35.782,2.009,-1.5228e-022,335.09,35.948,1,2.6,2.6,0.275,2
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,2.7,2.7,0.275,2
79280,60.473,3.2267,-1.4984e-022,325.98,60.758,1,2.8,2.8,0.275,2
75463,72.922,3.9067,-2.8016e-020,321.41,73.282,1,2.9,2.9,0.275,2
71779,85.404,4.6293,-6.8974e-023,316.84,85.849,1,3,3,0.275,2
68227,97.905,5.3898,1.205e-017,312.28,98.446,1,3.1,3.1,0.275,2
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,3.2,3.2,0.275,2
61512,122.93,7.0067,-3.7673e-018,303.17,123.69,1,3.3,3.3,0.275,2
58344,135.45,7.8541,8.875e-018,298.63,136.33,1,3.4,3.4,0.275,2
55301,147.95,8.7218,9.868e-018,294.1,148.98,1,3.5,3.5,0.275,2
52378,160.44,9.6054,-1.1586e-017,289.58,161.61,1,3.6,3.6,0.275,2
49575,172.91,10.501,-1.3902e-022,285.08,174.24,1,3.7,3.7,0.275,2
46888,185.35,11.403,2.803e-017,280.6,186.85,1,3.8,3.8,0.275,2
44316,197.76,12.308,3.7619e-017,276.13,199.43,1,3.9,3.9,0.275,2
41856,210.13,13.213,-1.6607e-017,271.69,211.99,1,4,4,0.275,2
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,4.1,4.1,0.275,2
37263,234.73,14.998,-1.3348e-022,262.88,236.98,1,4.2,4.2,0.275,2
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,4.3,4.3,0.275,2
33095,259.08,16.718,5.908e-020,254.2,261.74,1,4.4,4.4,0.275,2
31168,271.11,17.535,-3.1927e-017,249.93,273.99,1,4.5,4.5,0.275,2
29349,283,18.307,1.5186e-017,245.72,286.1,1,4.6,4.6,0.275,2
27651,294.62,19.007,3.3433e-017,241.62,297.94,1,4.7,4.7,0.275,2
26124,305.6,19.568,-1.2815e-022,237.76,309.13,1,4.8,4.8,0.275,2
24874,315.1,19.812,-2.7079e-017,234.4,318.85,1,4.9,4.9,0.275,2
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,5,5,0.275,2
23116,329.67,18.355,1.2861e-017,229.29,333.74,1,5.1,5.1,0.275,2
22502,335.08,16.341,0,227.43,339.23,1,5.2,5.2,0.275,2
22101,338.38,12.962,2.2559e-017,226.33,342.5,1,5.3,5.3,0.275,2
22160,336.51,7.1319,2.4491e-017,226.95,340.38,1,5.4,5.4,0.275,2
22380,332.8,0.60006,2.415e-017,228.09,336.44,1,5.5,5.5,0.275,2
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,5.6,5.6,0.275,2
23185,321.52,-13.488,-7.776e-023,231.35,324.86,1,5.7,5.7,0.275,2
24412,307.93,-24.126,1.9559e-017,235.75,311.15,1,5.8,5.8,0.275,2
25215,300.15,-30.361,-1.0816e-022,238.35,303.54,1,5.9,5.9,0.275,2
25510,297.56,-32.923,1.0412e-017,239.18,301.12,1,6,6,0.275,2
25687,296,-34.505,1.2653e-017,239.59,299.72,1,6.1,6.1,0.275,2
25822,294.68,-35.665,-2.2107e-018,239.83,298.54,1,6.2,6.2,0.275,2
25911,293.58,-36.428,3.2869e-018,239.93,297.56,1,6.3,6.3,0.275,2
25976,292.46,-36.895,-3.5916e-017,239.96,296.54,1,6.4,6.4,0.275,2
26002,291.4,-37.025,-4.2153e-017,239.88,295.56,1,6.5,6.5,0.275,2
33099,244.63,-70.416,-6.023e-023,258.58,254.83,1,6.6,6.6,0.275,2
33216,245.66,-66.072,5.3477e-018,258.22,254.64,1,6.7,6.7,0.275,2
32921,248.36,-60.049,-6.285e-023,257.13,255.66,1,6.8,6.8,0.275,2
32723,258.74,-63.35,4.8161e-017,328.83,266.76,1,6.9,6.9,0.275,2
32501,259.69,-58.238,-2.7292e-023,337.45,266.23,1,7,7,0.275,2
31980,257.66,-56.66,-7.3133e-017,395.39,264.13,1,7.1,7.1,0.275,2
31444,250.35,-45.79,3.0028e-017,401.86,256.4,1,7.2,7.2,0.275,2
28940,310,-83.932,0,385.06,321.16,1,7.3,7.3,0.275,2
28473,312.53,-81.389,0,384,322.95,1,7.4,7.4,0.275,2
29205,282.88,-71.672,0,424.47,291.82,1,7.5,7.5,0.275,2
29232,283.36,-65.874,-1.098e-016,425.32,290.92,1,7.6,7.6,0.275,2
29225,283.48,-59.597,-8.3687e-017,427.76,289.7,1,7.7,7.7,0.275,2
29142,283.4,-53.137,7.1252e-017,430.07,288.37,1,7.8,7.8,0.275,2
29002,278.8,-40.637,1.4304e-016,429.42,281.94,1,7.9,7.9,0.275,2
28768,265.75,-18.668,0,415.52,267.46,1,8,8,0.275,2
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,8.1,8.1,0.275,2
27987,253.46,-9.523,8.4224e-017,402.38,254.79,1,8.2,8.2,0.275,2
27484,249,-13.92,1.0757e-021,398.34,250.83,1,8.3,8.3,0.275,2
26882,243.41,-12.503,-1.5139e-016,394.34,245.13,1,8.4,8.4,0.275,2
26151,236.42,-9.2171,6.886e-017,389.7,237.7,1,8.5,8.5,0.275,2
25251,227.4,-6.4113,2.0798e-020,383.92,228.31,1,8.6,8.6,0.275,2
24048,214.39,-4.1124,4.836e-017,376.13,215,1,8.7,8.7,0.275,2
21240,178.32,-5.8906,1.0928e-021,358.69,178.6,1,8.8,8.8,0.275,2
17083,109.39,-7.8616,3.1964e-017,326.72,109.83,1,8.9,8.9,0.275,2
10000,1.3879e-007,-3.8452e-011,-1.65e-018,278.75,1.3879e-007,1,9,9,0.275,2
10000,3.3639e-011,1.5074e-011,-2.828e-017,278.75,3.9211e-011,1,9.1,9.1,0.275,2
10000,3.572e-011,1.9259e-011,-1.9637e-017,278.75,4.3667e-011,1,9.2,9.2,0.275,2
10000,3.5661e-011,2.3586e-011,3.4255e-018,278.75,4.7313e-011,1,9.3,9.3,0.275,2
10000,3.8446e-011,2.9164e-011,-4.9373e-021,278.75,5.3846e-011,1,9.4,9.4,0.275,2
10000,4.0059e-011,3.5035e-011,2.0401e-017,278.75,6.009e-011,1,9.5,9.5,0.275,2
10000,3.9796e-011,4.1329e-011,1.2388e-017,278.75,6.5894e-011,1,9.6,9.6,0.275,2
10000,3.9407e-011,4.8428e-011,2.2969e-022,278.75,7.2128e-011,1,9.7,9.7,0.275,2
10000,4.1142e-011,5.6068e-011,1.168e-018,278.75,8.0099e-011,1,9.8,9.8,0.275,2
10000,4.1569e-011,6.4299e-011,-6.0094e-018,278.75,8.746e-011,1,9.9,9.9,0.275,2
10000,4.0118e-011,7.3017e-011,6.3669e-022,278.75,9.596e-011,1,10,10,0.275,2
